order_id,customer_id,merchant_id,order_amount,checkout_started_at,credit_decision_started_at,approved_for_installments,customer_credit_score,customer_age,customer_billing_zip,customer_shipping_zip,paid_installment_1,paid_installment_2,paid_installment_3,paid_installment_4
EE89DB,EA8AB3,C37828,44.90,2018-09-21 23:58:52.040,2018-09-21 23:58:53.507,TRUE,611,41,85345,85345,1,1,1,1
DD14A4,002C7D,C37828,67.91,2018-09-20 22:37:34.940,2018-09-20 22:37:36.533,TRUE,520,28,55303,55303,1,1,1,1
3F2D42,388AA0,B4645E,136.00,2018-09-08 18:35:56.523,2018-09-08 18:35:57.697,TRUE,726,64,70084,70084,1,1,1,1
458C77,B08183,0ADC71,99.00,2018-09-23 23:26:11.007,2018-09-23 23:26:12.583,TRUE,665,47,29611,29611,1,1,1,1
0FF7F6,1A5D6F,6F498E,49.83,2018-09-10 01:01:39.260,2018-09-10 01:01:40.980,TRUE,613,26,89106,89106,1,1,1,1
35F60C,3566D6,9C0B17,42.00,2018-09-04 19:57:40.047,2018-09-04 19:57:41.390,TRUE,537,27,44333,44333,1,0,0,1
6C03F1,292C75,8B9AB8,112.68,2018-09-03 20:03:55.410,2018-09-03 20:03:56.753,TRUE,649,36,98264,98264,1,1,1,1
9FE95E,0E48E1,0ADC71,206.98,2018-10-05 06:04:43.827,2018-10-05 06:04:44.137,TRUE,600,41,60637,60628,1,1,1,1
D705A2,3D293C,6B6FAC,127.50,2018-10-10 05:49:51.557,2018-10-10 05:49:51.857,TRUE,625,29,93422,93422,1,1,1,0
8F55FF,735A07,767C9E,238.85,2018-10-01 15:41:23.857,2018-10-01 15:41:24.263,TRUE,823,71,64119,64119,1,1,1,1
66BE49,FF63D1,26ECA2,56.30,2018-09-21 04:29:32.880,2018-09-21 04:29:34.333,TRUE,639,27,92102,92102,1,1,1,1
C91F95,9C9CA9,E3FFE5,121.71,2018-09-16 22:10:54.357,2018-09-16 22:10:55.437,TRUE,645,37,86401,86401,1,1,1,1
BF0615,FA4365,E3FFE5,109.97,2018-10-05 19:43:22.670,2018-10-05 19:43:22.980,TRUE,614,35,81647,81647,1,1,1,1
122446,B68088,B4645E,49.80,2018-09-10 20:04:22.783,2018-09-10 20:04:23.877,TRUE,1,71,11040,11040,1,1,1,1
13B27E,08EA6D,ED5D01,90.00,2018-10-14 13:00:00.737,2018-10-14 13:00:01.317,TRUE,611,27,22304,22304,1,1,1,NULL
75A0E6,7403D4,05BCA0,75.00,2018-10-12 21:44:42.277,2018-10-12 21:44:42.717,TRUE,556,31,10034,10034,1,1,1,NULL
2343F6,5F66E1,6F498E,63.82,2018-10-05 20:53:38.850,2018-10-05 20:53:39.243,TRUE,666,38,95690,95690,1,1,1,1
63B617,596583,767C9E,73.61,2018-09-12 20:55:11.817,2018-09-12 20:55:12.990,TRUE,611,54,77523,77523,1,1,1,1
15211E,B7554D,C37828,96.42,2018-09-10 01:07:16.013,2018-09-10 01:07:17.310,TRUE,541,22,93030,93030,1,1,1,1
E25F52,BC98CF,05BCA0,216.00,2018-10-11 22:22:53.543,2018-10-11 22:22:53.950,TRUE,649,51,77346,77346,1,1,1,1
414189,55B999,C37828,69.95,2018-10-07 20:27:44.800,2018-10-07 20:27:45.537,TRUE,584,25,77049,77049,1,1,1,1
3E7A35,C77E7D,05BCA0,157.50,2018-09-29 00:57:00.323,2018-09-29 00:57:00.840,TRUE,611,23,02446,02446,1,1,1,1
FE7BB1,3E3D0E,6F498E,72.27,2018-09-17 18:59:50.193,2018-09-17 18:59:51.630,TRUE,611,20,60126,60126,1,1,1,1
5EDFA4,2C538E,8B9AB8,50.68,2018-08-29 22:18:28.657,2018-08-29 22:18:29.877,TRUE,734,33,93103,93103,1,1,1,1
5CE9FC,EF3B9D,32BC4E,264.57,2018-10-14 17:50:40.367,2018-10-14 17:50:40.927,TRUE,785,28,91403,90025,1,1,1,NULL
31E303,F759A7,8C3526,69.00,2018-10-10 15:26:01.423,2018-10-10 15:26:02.050,TRUE,818,55,45251,45251,1,1,1,1
5F2B62,756389,26ECA2,63.66,2018-09-09 23:57:07.197,2018-09-09 23:57:08.587,TRUE,693,24,11432,11432,1,1,1,1
884380,C219AF,DE18FA,895.00,2018-09-05 19:03:13.973,2018-09-05 19:03:15.207,TRUE,750,45,33437,33437,1,1,1,1
F74BDD,4662B6,3B88C5,36.50,2018-09-01 14:30:15.210,2018-09-01 14:30:16.443,TRUE,716,22,55014,55014,1,1,1,1
AC9C49,AA27DF,26ECA2,132.60,2018-09-28 18:11:28.227,2018-09-28 18:11:28.617,TRUE,632,25,56277,56277,1,1,1,1
8D05B1,58F275,8D665E,65.45,2018-09-22 14:44:45.870,2018-09-22 14:44:47.307,TRUE,600,35,70001,70001,1,1,1,1
C93415,850126,59671F,65.15,2018-09-17 02:24:11.097,2018-09-17 02:24:14.817,TRUE,641,27,93535,93535,1,1,1,1
8BD874,D84CE8,26ECA2,230.40,2018-09-14 07:59:02.770,2018-09-14 07:59:03.850,TRUE,611,19,90031,90031,1,1,1,1
D4FCF0,42F1A4,8B9AB8,191.08,2018-08-29 23:41:01.973,2018-08-29 23:41:03.397,TRUE,477,23,30329,30329,1,1,1,1
2D690B,DACA07,71208A,278.00,2018-10-06 13:13:10.153,2018-10-06 13:13:10.433,TRUE,790,52,20001,20001,1,1,1,1
2DCD8A,3532B2,6F498E,206.82,2018-09-09 07:15:33.137,2018-09-09 07:15:34.717,TRUE,605,37,17602,17602,1,1,1,1
B97976,1FF991,6F498E,64.78,2018-09-01 19:54:49.587,2018-09-01 19:54:50.620,TRUE,611,19,48047,48047,1,1,1,1
345D7A,FFC3DD,6F498E,49.83,2018-10-11 04:43:02.773,2018-10-11 04:43:03.150,TRUE,538,26,55411,55411,1,1,1,1
CE4161,E8B75A,0ADC71,77.71,2018-09-25 20:30:12.207,2018-09-25 20:30:14.410,TRUE,583,57,94534,94534,1,1,1,1
0EBEEF,409F8F,3B88C5,56.25,2018-09-08 15:27:51.577,2018-09-08 15:27:53.203,TRUE,665,20,53713,53713,1,1,1,1
F6A811,0DEACC,6F498E,64.82,2018-09-29 13:42:18.140,2018-09-29 13:42:18.623,TRUE,611,21,87105,87105,1,1,1,1
1B50D5,87F6D1,6F498E,139.47,2018-09-17 23:57:47.457,2018-09-17 23:57:48.830,TRUE,611,30,90037,90037,1,1,1,1
6CF130,FC97D3,65719E,104.95,2018-09-28 16:40:41.093,2018-09-28 16:40:41.437,TRUE,553,42,11738,11738,1,1,1,1
5A0B28,192F03,03271F,149.49,2018-09-04 05:12:33.773,2018-09-04 05:12:35.040,TRUE,648,59,70471,70471,1,1,1,1
59CD98,E7D62D,6EA30D,108.95,2018-10-10 21:50:56.863,2018-10-10 21:50:57.237,TRUE,549,45,75010,75010,1,1,1,1
D824CD,730784,0ADC71,53.00,2018-09-29 12:32:43.130,2018-09-29 12:32:43.520,TRUE,508,23,27244,27244,1,0,0,0
716A27,A6D4ED,ED5D01,69.98,2018-09-08 21:12:27.410,2018-09-08 21:12:28.440,TRUE,551,36,28216,28216,1,1,1,1
6CE95F,0DD1BB,C37828,69.95,2018-10-03 22:48:56.377,2018-10-03 22:48:56.783,TRUE,599,31,98663,97229,1,1,1,1
FC651F,F7A06D,24FBAF,25.20,2018-10-06 02:31:30.193,2018-10-06 02:31:30.567,TRUE,603,43,35079,35079,1,1,1,1
D3CB6E,284FD1,8B9AB8,745.24,2018-08-29 14:17:42.633,2018-08-29 14:17:43.947,TRUE,639,35,25414,25414,1,0,0,0
0DFE44,A5471F,9C0B17,82.00,2018-10-14 21:12:31.153,2018-10-14 21:12:31.513,TRUE,559,43,48195,48195,1,1,1,NULL
B2CE64,D891F4,E3FFE5,50.98,2018-10-10 16:47:13.367,2018-10-10 16:47:13.693,TRUE,635,50,37615,37615,1,1,1,1
7D6504,A3A57B,7FE732,630.00,2018-10-09 06:50:24.447,2018-10-09 06:50:24.817,TRUE,656,35,20007,20007,1,1,1,1
E683FC,CC98BB,C37828,67.91,2018-10-06 06:06:27.267,2018-10-06 06:06:27.673,TRUE,611,24,74137,74137,1,1,1,1
5B44E4,889753,8D665E,199.18,2018-10-04 16:39:16.663,2018-10-04 16:39:17.150,TRUE,609,38,90732,90732,1,1,1,1
092486,DD29E7,8C3526,48.00,2018-10-11 11:01:06.477,2018-10-11 11:01:06.803,TRUE,668,50,92234,92234,1,1,1,1
53C6AF,5CD0C7,B4645E,116.00,2018-09-29 20:05:33.883,2018-09-29 20:05:34.150,TRUE,478,37,79735,79735,1,1,1,1
8FFB9C,DEA454,B279D4,114.45,2018-09-27 09:36:25.730,2018-09-27 09:36:26.103,TRUE,433,54,73116,73116,1,0,1,0
6B860B,AFE7DD,C37828,69.95,2018-10-13 19:23:50.267,2018-10-13 19:23:50.623,TRUE,646,23,60441,60441,1,1,1,NULL
2A497E,93FE0B,26ECA2,35.66,2018-10-08 00:47:14.960,2018-10-08 00:47:15.257,TRUE,611,19,29053,29053,1,1,1,1
3B995B,645F7A,3B88C5,71.38,2018-09-26 17:05:56.943,2018-09-26 17:05:59.133,TRUE,746,26,48186,48125,1,1,1,1
551CE9,A539FD,ED5D01,116.99,2018-09-09 19:55:57.617,2018-09-09 19:55:58.710,TRUE,1,34,77008,77008,1,1,1,1
F8E304,6EA734,E3FFE5,46.49,2018-09-06 21:27:18.103,2018-09-06 21:27:19.527,TRUE,573,29,28411,28411,1,1,1,1
155356,F4C218,E3FFE5,80.96,2018-09-01 23:14:15.073,2018-09-01 23:14:16.307,TRUE,825,32,10543,10543,1,1,1,1
05E3CF,13527C,26ECA2,84.00,2018-09-05 21:41:04.820,2018-09-05 21:41:05.913,TRUE,611,18,76247,76247,1,1,1,1
F02EE7,4B3E81,8B9AB8,565.21,2018-10-09 17:51:59.243,2018-10-09 17:51:59.557,TRUE,747,39,94123,94123,1,1,1,1
EB2DB7,B7CA30,0ADC71,226.83,2018-10-06 02:09:56.987,2018-10-06 02:09:57.350,TRUE,577,29,52246,52246,1,1,1,1
19EEBD,524070,6F498E,98.43,2018-09-20 21:00:44.560,2018-09-20 21:00:46.060,TRUE,677,28,91790,91790,1,1,1,1
A160FD,D67A6F,E3FFE5,80.96,2018-09-03 20:27:17.937,2018-09-03 20:27:19.030,TRUE,650,38,38138,38138,1,1,1,1
43778B,9663D8,C37828,87.05,2018-08-31 14:36:42.523,2018-08-31 14:36:43.807,TRUE,607,29,91105,11234,1,1,1,0
759388,B822CA,3F89E5,81.60,2018-10-13 15:33:33.337,2018-10-13 15:33:33.760,TRUE,495,37,36532,36532,1,1,1,NULL
B7B3E1,E43495,24FBAF,73.70,2018-10-10 14:00:05.367,2018-10-10 14:00:05.850,TRUE,817,28,36608,36608,1,1,1,1
EAB8F1,5888F4,6EA30D,116.20,2018-09-28 15:27:43.130,2018-09-28 15:27:43.393,TRUE,482,26,92691,92691,1,1,1,1
DEB17B,DE5517,26ECA2,29.16,2018-09-09 05:51:53.090,2018-09-09 05:51:54.027,TRUE,577,26,60482,60482,1,1,1,1
E820FD,C89399,26ECA2,37.98,2018-10-06 14:54:50.783,2018-10-06 14:54:51.173,TRUE,611,20,95209,95209,1,1,1,1
1AE351,3DA6B6,86F35F,573.42,2018-10-03 19:19:30.677,2018-10-03 19:19:31.003,TRUE,611,32,02703,02703,1,1,1,1
8CA880,105594,C37828,40.91,2018-10-03 02:56:20.723,2018-10-03 02:56:21.160,TRUE,579,25,20019,20019,1,1,1,1
902EBA,4D4592,8D665E,52.70,2018-09-12 19:08:13.953,2018-09-12 19:08:15.000,TRUE,518,25,07307,07307,1,1,1,1
6CCE3E,3EAA48,8D665E,68.00,2018-10-12 14:55:51.330,2018-10-12 14:55:58.220,TRUE,771,32,33316,33316,1,1,1,0
D84784,AB8682,6F498E,45.34,2018-10-03 14:58:20.127,2018-10-03 14:58:20.797,TRUE,611,21,43229,43229,1,1,1,1
B2FD60,5BA2AE,0ADC71,99.00,2018-09-29 17:53:26.030,2018-09-29 17:53:26.390,TRUE,591,23,11225,11225,1,1,1,1
B2C741,59671F,E3FFE5,124.96,2018-09-28 18:38:22.117,2018-09-28 18:38:22.537,TRUE,509,40,80249,80220,1,1,1,0
F9959E,FB64F3,0FFBC9,53.00,2018-09-21 20:45:55.637,2018-09-21 20:45:57.167,TRUE,592,45,98391,98372,1,1,1,1
F566A2,4EE2B9,9C0B17,57.00,2018-09-13 17:18:16.507,2018-09-13 17:18:19.770,TRUE,497,41,23323,23323,1,1,1,1
3B7777,2CAD30,B4645E,61.92,2018-09-08 22:29:31.073,2018-09-08 22:29:32.277,TRUE,510,48,44035,44035,1,1,1,1
972FFF,1488D0,6F498E,69.74,2018-08-29 21:14:53.717,2018-08-29 21:14:55.543,TRUE,463,37,67207,67207,1,1,1,1
02A3B5,6C58E3,24FBAF,65.00,2018-10-10 16:57:11.800,2018-10-10 16:57:12.130,TRUE,609,33,74055,74055,1,1,1,1
169E6B,1929D6,6F498E,66.69,2018-09-21 17:18:01.133,2018-09-21 17:18:02.680,TRUE,368,20,47374,47374,1,1,1,1
038C0D,739257,BDE37F,223.75,2018-09-12 20:54:33.100,2018-09-12 20:54:34.367,TRUE,787,56,02458,02458,1,1,1,1
283F00,7C728A,56A4DC,42.00,2018-09-02 16:05:58.263,2018-09-02 16:05:59.623,TRUE,559,32,32211,32211,1,1,1,1
5B4041,27106F,E3FFE5,95.97,2018-09-21 14:06:11.137,2018-09-21 14:07:06.930,TRUE,686,27,23604,23604,1,1,1,1
C09F1A,C1D334,6F498E,49.84,2018-09-16 21:49:26.847,2018-09-16 21:49:30.487,TRUE,659,21,60438,60438,1,1,1,1
E432F1,2ED753,8B9AB8,130.31,2018-10-10 21:18:56.787,2018-10-10 21:18:57.100,TRUE,630,26,90007,90007,1,1,1,1
F89481,04CB4C,864C1F,225.00,2018-10-05 06:39:49.340,2018-10-05 06:39:49.653,TRUE,441,33,95355-4805,95355-4805,1,0,0,0
A49030,F80996,6F498E,58.79,2018-08-31 02:11:56.700,2018-08-31 02:11:58.120,TRUE,429,20,89031,89031,1,1,1,1
0DCFBD,2960FB,6F498E,92.42,2018-09-13 01:01:37.640,2018-09-13 01:01:38.873,TRUE,548,23,17067,17067,1,1,1,1
B48813,BCDF46,E3FFE5,114.96,2018-08-31 19:09:52.920,2018-08-31 19:09:54.030,TRUE,544,42,07727-1417,07727-1417,1,1,1,1
1A6A85,3A3C52,DE18FA,953.75,2018-10-14 05:56:16.863,2018-10-14 05:56:17.223,TRUE,814,39,95008,95008,1,1,1,1
1AF2A5,AECAC0,D92915,107.10,2018-09-27 16:51:07.577,2018-09-27 16:51:07.920,TRUE,611,41,30039,30039,1,1,1,1
9AD303,57C70F,DE18FA,895.00,2018-09-09 13:38:26.263,2018-09-09 13:38:27.840,TRUE,611,28,08052,08052,1,1,1,1
FAD47F,3F462B,6EA30D,148.91,2018-09-27 08:56:24.773,2018-09-27 08:56:25.447,TRUE,745,37,95401,95401,1,1,1,1
94388C,3DF91E,8B9AB8,150.15,2018-09-19 19:54:42.753,2018-09-19 19:54:44.283,TRUE,708,27,92626,92626,1,1,1,1
267E16,5DB2B9,55E809,145.00,2018-09-11 19:06:19.987,2018-09-11 19:06:21.907,TRUE,564,43,30097,30097,1,1,1,1
2E5BB1,1CAC2C,55E809,193.90,2018-10-11 18:25:12.487,2018-10-11 18:25:12.813,TRUE,611,30,11563,11563,1,1,1,1
B0697C,70588C,C37828,69.95,2018-09-30 01:58:12.017,2018-09-30 01:58:12.360,TRUE,489,32,54304,54304,1,1,1,0
941CCF,9EB9C6,8D665E,32.73,2018-09-17 13:57:27.743,2018-09-17 13:57:28.977,TRUE,611,31,23059,23059,1,1,1,1
07183E,2D487C,50FA75,211.65,2018-10-14 23:31:22.123,2018-10-14 23:31:22.467,TRUE,669,25,60060,60040,1,1,1,NULL
360E9D,14E854,B4645E,71.40,2018-10-12 13:09:41.083,2018-10-12 13:09:41.490,TRUE,679,46,15205,15205,1,1,1,1
088815,92CA70,6F498E,58.45,2018-10-12 07:19:17.830,2018-10-12 07:19:18.300,TRUE,611,18,92683,92683,1,1,1,NULL
86639E,A5C7D7,6F498E,58.79,2018-09-07 06:09:10.920,2018-09-07 06:09:12.077,TRUE,687,23,85302,85302,1,1,1,1
7A8A6B,1CFDD2,8B9AB8,325.98,2018-09-04 15:37:04.460,2018-09-04 15:37:05.710,TRUE,595,49,33401,33401,1,1,1,1
68018A,1BE5AB,03271F,153.00,2018-09-24 20:36:22.670,2018-09-24 20:36:24.200,TRUE,818,75,91364,91364,1,1,1,1
0CD034,0ACF27,311C16,94.40,2018-10-09 23:56:04.047,2018-10-09 23:56:04.403,TRUE,747,26,37721,10009,1,1,1,1
BFD972,5C2C87,8B9AB8,251.10,2018-10-04 12:50:03.720,2018-10-04 12:50:04.063,TRUE,708,24,36830,36830,1,1,1,1
DD63D9,D21910,E3FFE5,86.97,2018-09-09 20:11:49.820,2018-09-09 20:11:50.820,TRUE,435,31,88011,88011,1,1,1,1
1B5D59,F751C0,6EA30D,57.90,2018-09-21 01:06:59.570,2018-09-21 01:07:03.633,TRUE,611,64,18704,18704,1,1,1,1
90E723,2D81BA,24FBAF,34.00,2018-10-02 13:11:03.117,2018-10-02 13:11:03.367,TRUE,611,25,35490,35490,1,1,1,1
93C161,195155,0ADC71,99.00,2018-09-26 19:36:28.280,2018-09-26 19:36:30.030,TRUE,775,47,70032,70032,1,1,1,1
EEF7A8,67A583,C37828,69.95,2018-09-26 12:21:44.907,2018-09-26 12:21:46.423,TRUE,471,30,19144,19144,1,1,1,1
FADD30,B2DE11,9C0B17,39.00,2018-09-19 18:34:06.833,2018-09-19 18:34:08.617,TRUE,611,35,90029,90029,1,1,1,1
4A23EF,F80278,311C16,158.48,2018-10-14 15:35:05.090,2018-10-14 15:35:05.353,TRUE,613,46,33176,33176,1,1,1,NULL
32F2F9,5F0C9F,48D2B9,605.50,2018-10-10 14:09:25.240,2018-10-10 14:09:25.647,TRUE,599,45,94954,94954,1,1,1,1
11B18B,E3F4F6,6F498E,119.88,2018-09-30 15:56:25.517,2018-09-30 15:56:25.923,TRUE,611,28,60133,60133,1,1,1,1
