,order_id,customer_id,merchant_id,order_amount,checkout_started_at,credit_decision_started_at,approved_for_installments,customer_credit_score,customer_age,customer_billing_zip,customer_shipping_zip,paid_installment_1,paid_installment_2,paid_installment_3,paid_installment_4,orders,order_amount_cum_sum,orders_cum_sum,order_amount_cum_avg,paid_installment_1_cum_avg,paid_installment_2_cum_avg,paid_installment_3_cum_avg,paid_installment_4_cum_avg,order_amount_cum_sum,orders_cum_sum,order_amount_cum_avg,paid_installment_1_cum_avg,paid_installment_2_cum_avg,paid_installment_3_cum_avg,paid_installment_4_cum_avg,merchant_order_amount_cum_sum,merchant_orders_cum_sum,merchant_order_amount_cum_avg,merchant_paid_installment_1_ratio,merchant_paid_installment_2_ratio,merchant_paid_installment_3_ratio,merchant_paid_installment_4_ratio,order_amount_to_merchant_avg_ratio
10,6D90A5,8BD720,01CF9F,76.0,2018-10-12 01:18:35.200,2018-10-12 01:18:35.763,True,659,52,90064,90064,1.0,1,1.0,1.0,1,76.0,1,76.0,1.0,1,1.0,1.0,76.0,1,76.0,1.0,1,1.0,1.0,76.0,1,76.0,1.0,1,1.0,1.0,1.0
11,FA8382,F4895E,01CF9F,76.0,2018-10-12 17:08:53.727,2018-10-12 17:08:54.180,True,626,29,32256,32256,1.0,1,1.0,1.0,1,76.0,1,76.0,1.0,1,1.0,1.0,76.0,1,76.0,1.0,1,1.0,1.0,76.0,1,76.0,1.0,1,1.0,1.0,1.0
12,FFAD94,E7AB40,01CF9F,190.0,2018-10-12 22:05:39.903,2018-10-12 22:05:40.310,True,679,57,64064,64064,1.0,1,1.0,,1,190.0,1,190.0,1.0,1,1.0,0.0,190.0,1,190.0,1.0,1,1.0,0.0,190.0,1,190.0,1.0,1,1.0,0.0,1.0
13,052B64,0818E9,03271F,149.49,2018-08-29 13:27:00.267,2018-08-29 13:27:01.767,True,543,44,33131,33131,1.0,1,1.0,1.0,1,149.49,1,149.49,1.0,1,1.0,1.0,149.49,1,149.49,1.0,1,1.0,1.0,149.49,1,149.49,1.0,1,1.0,1.0,1.0
14,CB072C,D48603,03271F,484.5,2018-08-29 17:13:17.170,2018-08-29 17:13:18.483,True,675,41,15021,15021,1.0,1,1.0,1.0,1,484.5,1,484.5,1.0,1,1.0,1.0,484.5,1,484.5,1.0,1,1.0,1.0,484.5,1,484.5,1.0,1,1.0,1.0,1.0
15,38A9EA,7DE717,03271F,212.5,2018-08-29 17:25:01.510,2018-08-29 17:25:02.870,True,650,56,19144,19144,1.0,1,1.0,1.0,1,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,1.0
16,0B0551,D326DC,03271F,160.0,2018-08-29 17:28:32.040,2018-08-29 17:28:33.243,True,621,40,33166,33166,1.0,1,1.0,1.0,1,160.0,1,160.0,1.0,1,1.0,1.0,160.0,1,160.0,1.0,1,1.0,1.0,160.0,1,160.0,1.0,1,1.0,1.0,1.0
17,9E92F5,8EC1B4,03271F,140.99,2018-08-29 18:33:02.923,2018-08-29 18:33:04.157,True,541,55,28630,28630,1.0,1,1.0,1.0,1,140.99,1,140.99,1.0,1,1.0,1.0,140.99,1,140.99,1.0,1,1.0,1.0,140.99,1,140.99,1.0,1,1.0,1.0,1.0
18,F51EAA,33D91A,03271F,272.0,2018-08-29 20:41:10.700,2018-08-29 20:41:11.967,True,799,50,80023,80023,1.0,1,1.0,1.0,1,272.0,1,272.0,1.0,1,1.0,1.0,272.0,1,272.0,1.0,1,1.0,1.0,272.0,1,272.0,1.0,1,1.0,1.0,1.0
19,03BCC9,CF5931,03271F,149.49,2018-08-29 21:18:50.770,2018-08-29 21:18:52.267,True,643,32,82716,82716,1.0,1,1.0,1.0,1,149.49,1,149.49,1.0,1,1.0,1.0,149.49,1,149.49,1.0,1,1.0,1.0,149.49,1,149.49,1.0,1,1.0,1.0,1.0
20,CE30C0,315815,03271F,140.99,2018-08-30 11:02:16.873,2018-08-30 11:02:18.680,True,451,45,12550,12550,1.0,1,1.0,1.0,1,140.99,1,140.99,1.0,1,1.0,1.0,140.99,1,140.99,1.0,1,1.0,1.0,140.99,1,140.99,1.0,1,1.0,1.0,1.0
21,0E8046,2950B2,03271F,212.5,2018-08-30 17:19:56.710,2018-08-30 17:19:58.350,True,673,66,29464,29464,1.0,1,1.0,1.0,1,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,1.0
22,E81BCA,8B384C,03271F,212.5,2018-08-30 17:45:30.663,2018-08-30 17:45:31.993,True,780,50,40220,40220,1.0,1,1.0,1.0,1,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,1.0
23,E2409F,CDAC09,03271F,160.0,2018-08-31 15:02:54.297,2018-08-31 15:02:55.627,True,706,58,48813-9792,48813-9792,1.0,1,1.0,1.0,1,160.0,1,160.0,1.0,1,1.0,1.0,160.0,1,160.0,1.0,1,1.0,1.0,160.0,1,160.0,1.0,1,1.0,1.0,1.0
24,F9640F,187D99,03271F,246.5,2018-08-31 21:08:54.510,2018-08-31 21:08:55.760,True,740,61,52134,52134,1.0,1,1.0,1.0,1,246.5,1,246.5,1.0,1,1.0,1.0,246.5,1,246.5,1.0,1,1.0,1.0,246.5,1,246.5,1.0,1,1.0,1.0,1.0
25,80157A,6CA1BC,03271F,221.0,2018-09-01 00:01:26.937,2018-09-01 00:01:28.143,True,611,46,31404,31404,1.0,1,1.0,1.0,1,221.0,1,221.0,1.0,1,1.0,1.0,221.0,1,221.0,1.0,1,1.0,1.0,221.0,1,221.0,1.0,1,1.0,1.0,1.0
26,2182BB,6CCB89,03271F,161.5,2018-09-01 01:02:21.893,2018-09-01 01:02:23.950,True,611,48,79605,79605,1.0,1,1.0,1.0,1,161.5,1,161.5,1.0,1,1.0,1.0,161.5,1,161.5,1.0,1,1.0,1.0,161.5,1,161.5,1.0,1,1.0,1.0,1.0
27,DB72F8,D13FBF,03271F,212.5,2018-09-02 00:43:44.510,2018-09-02 00:43:47.180,True,628,46,37923,37923,1.0,1,1.0,1.0,1,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,1.0
28,7F020A,C563C1,03271F,416.5,2018-09-02 06:34:28.530,2018-09-02 06:34:29.657,True,521,32,98223,98223,1.0,1,1.0,1.0,1,416.5,1,416.5,1.0,1,1.0,1.0,416.5,1,416.5,1.0,1,1.0,1.0,416.5,1,416.5,1.0,1,1.0,1.0,1.0
29,81EE07,F872D8,03271F,140.99,2018-09-02 15:38:20.070,2018-09-02 15:38:21.290,True,460,52,75501,75501,1.0,1,1.0,1.0,1,140.99,1,140.99,1.0,1,1.0,1.0,140.99,1,140.99,1.0,1,1.0,1.0,140.99,1,140.99,1.0,1,1.0,1.0,1.0
30,BEB64B,FB3B47,03271F,212.5,2018-09-03 20:57:00.817,2018-09-03 20:57:02.303,True,665,45,30115,30115,1.0,1,1.0,1.0,1,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,1.0
31,05A592,76FE96,03271F,161.5,2018-09-03 23:33:00.727,2018-09-03 23:33:02.133,True,803,65,46373,46373,1.0,1,1.0,1.0,1,161.5,1,161.5,1.0,1,1.0,1.0,161.5,1,161.5,1.0,1,1.0,1.0,161.5,1,161.5,1.0,1,1.0,1.0,1.0
32,97BAAF,160F4A,03271F,229.39,2018-09-04 03:48:00.637,2018-09-04 03:48:01.947,True,716,53,85255,85255,1.0,1,1.0,1.0,1,229.39,1,229.39,1.0,1,1.0,1.0,229.39,1,229.39,1.0,1,1.0,1.0,229.39,1,229.39,1.0,1,1.0,1.0,1.0
33,5A0B28,192F03,03271F,149.49,2018-09-04 05:12:33.773,2018-09-04 05:12:35.040,True,648,59,70471,70471,1.0,1,1.0,1.0,1,149.49,1,149.49,1.0,1,1.0,1.0,149.49,1,149.49,1.0,1,1.0,1.0,149.49,1,149.49,1.0,1,1.0,1.0,1.0
34,D8C2B6,D26344,03271F,161.5,2018-09-04 18:45:18.407,2018-09-04 18:45:19.703,True,611,39,75228,75228,1.0,1,1.0,1.0,1,161.5,1,161.5,1.0,1,1.0,1.0,161.5,1,161.5,1.0,1,1.0,1.0,161.5,1,161.5,1.0,1,1.0,1.0,1.0
35,E8651A,8DFFA9,03271F,212.5,2018-09-04 20:15:22.120,2018-09-04 20:15:23.247,True,726,31,91910,91910,1.0,1,1.0,1.0,1,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,212.5,1,212.5,1.0,1,1.0,1.0,1.0
36,A355C5,C664B0,03271F,225.0,2018-09-05 19:46:19.140,2018-09-05 19:46:57.097,True,566,39,77586,77586,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
37,173348,73A30A,03271F,160.0,2018-09-06 02:29:19.367,2018-09-06 02:29:20.383,True,611,56,32641,32641,1.0,1,1.0,1.0,1,160.0,1,160.0,1.0,1,1.0,1.0,160.0,1,160.0,1.0,1,1.0,1.0,160.0,1,160.0,1.0,1,1.0,1.0,1.0
38,89E101,938CE7,03271F,160.0,2018-09-07 19:13:37.140,2018-09-07 19:13:38.327,True,647,35,90604,90604,1.0,1,1.0,1.0,1,160.0,1,160.0,1.0,1,1.0,1.0,160.0,1,160.0,1.0,1,1.0,1.0,160.0,1,160.0,1.0,1,1.0,1.0,1.0
39,F8CE26,757A6A,03271F,261.0,2018-09-07 19:27:53.080,2018-09-07 19:27:54.830,True,611,20,78542,78542,1.0,1,1.0,1.0,1,261.0,1,261.0,1.0,1,1.0,1.0,261.0,1,261.0,1.0,1,1.0,1.0,261.0,1,261.0,1.0,1,1.0,1.0,1.0
40,D54B48,F93D1C,03271F,261.0,2018-09-07 19:28:07.970,2018-09-07 19:28:09.953,True,811,60,53581,53581,1.0,1,0.0,0.0,1,261.0,1,261.0,1.0,1,0.0,0.0,261.0,1,261.0,1.0,1,0.0,0.0,261.0,1,261.0,1.0,1,0.0,0.0,1.0
41,C41E68,A2E325,03271F,234.0,2018-09-07 20:24:21.117,2018-09-07 20:24:22.430,True,818,55,37912,37912,1.0,1,1.0,1.0,1,234.0,1,234.0,1.0,1,1.0,1.0,234.0,1,234.0,1.0,1,1.0,1.0,234.0,1,234.0,1.0,1,1.0,1.0,1.0
42,BEE8A5,5682AB,03271F,148.99,2018-09-07 21:57:18.130,2018-09-07 21:57:19.553,True,682,39,92655,92655,1.0,1,1.0,1.0,1,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,1.0
43,30D513,0492FA,03271F,225.0,2018-09-07 22:07:30.780,2018-09-07 22:07:32.157,True,696,63,60004,60004,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
44,897BAE,98AF6F,03271F,160.0,2018-09-08 09:00:07.950,2018-09-08 09:00:09.123,True,576,53,75234,75234,1.0,1,1.0,1.0,1,160.0,1,160.0,1.0,1,1.0,1.0,160.0,1,160.0,1.0,1,1.0,1.0,160.0,1,160.0,1.0,1,1.0,1.0,1.0
45,E3D0D5,A8C48D,03271F,290.0,2018-09-08 12:22:08.043,2018-09-08 12:22:09.637,True,730,80,55441,55441,1.0,1,1.0,1.0,1,290.0,1,290.0,1.0,1,1.0,1.0,290.0,1,290.0,1.0,1,1.0,1.0,290.0,1,290.0,1.0,1,1.0,1.0,1.0
46,FA63F8,7B9B4A,03271F,153.0,2018-09-11 10:27:55.013,2018-09-11 10:27:56.250,True,551,29,13219,13219,1.0,1,1.0,1.0,1,153.0,1,153.0,1.0,1,1.0,1.0,153.0,1,153.0,1.0,1,1.0,1.0,153.0,1,153.0,1.0,1,1.0,1.0,1.0
47,C45AE7,BA6E30,03271F,225.0,2018-09-19 14:25:36.273,2018-09-19 14:25:39.677,True,454,48,77449,77449,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
48,509C77,93B9E6,03271F,153.0,2018-09-19 20:21:32.790,2018-09-19 20:21:34.603,True,762,49,60614,60614,1.0,1,1.0,1.0,1,153.0,1,153.0,1.0,1,1.0,1.0,153.0,1,153.0,1.0,1,1.0,1.0,153.0,1,153.0,1.0,1,1.0,1.0,1.0
49,63B015,303A46,03271F,148.99,2018-09-19 20:37:32.990,2018-09-19 20:37:34.567,True,762,62,95630,95630,1.0,1,1.0,1.0,1,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,1.0
50,576230,272946,03271F,148.99,2018-09-22 15:30:51.387,2018-09-22 15:30:53.667,True,788,50,80905,80905,1.0,1,1.0,1.0,1,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,1.0
51,E23C62,D6064F,03271F,148.99,2018-09-22 17:28:42.250,2018-09-22 17:28:43.857,True,775,77,96708,96708,1.0,1,1.0,1.0,1,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,1.0
52,063233,E65C7A,03271F,288.0,2018-09-23 18:08:45.073,2018-09-23 18:08:46.557,True,637,65,37072,37072,1.0,1,1.0,1.0,1,288.0,1,288.0,1.0,1,1.0,1.0,288.0,1,288.0,1.0,1,1.0,1.0,288.0,1,288.0,1.0,1,1.0,1.0,1.0
53,6E4BD6,D8329E,03271F,270.0,2018-09-23 20:24:13.840,2018-09-23 20:24:16.347,True,770,64,06782,06782,1.0,1,1.0,1.0,1,270.0,1,270.0,1.0,1,1.0,1.0,270.0,1,270.0,1.0,1,1.0,1.0,270.0,1,270.0,1.0,1,1.0,1.0,1.0
54,F2D7E5,334165,03271F,225.0,2018-09-23 21:51:45.503,2018-09-23 21:51:46.990,True,611,36,33511,33511,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
55,DC86D4,C8D7C9,03271F,171.0,2018-09-24 02:39:30.447,2018-09-24 02:39:32.057,True,517,22,28420,28420,1.0,1,1.0,1.0,1,171.0,1,171.0,1.0,1,1.0,1.0,171.0,1,171.0,1.0,1,1.0,1.0,171.0,1,171.0,1.0,1,1.0,1.0,1.0
56,68018A,1BE5AB,03271F,153.0,2018-09-24 20:36:22.670,2018-09-24 20:36:24.200,True,818,75,91364,91364,1.0,1,1.0,1.0,1,153.0,1,153.0,1.0,1,1.0,1.0,153.0,1,153.0,1.0,1,1.0,1.0,153.0,1,153.0,1.0,1,1.0,1.0,1.0
57,DE5E87,E3BF54,03271F,225.0,2018-09-27 12:52:20.250,2018-09-27 12:52:20.623,True,826,60,35444,35444,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
58,FAF708,458C21,03271F,225.0,2018-09-27 20:26:23.233,2018-09-27 20:26:23.563,True,722,41,45212,45212,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
59,FC3FE0,67986D,03271F,280.0,2018-09-28 02:58:10.737,2018-09-28 02:58:11.127,True,815,48,10520,10520,1.0,1,1.0,1.0,1,280.0,1,280.0,1.0,1,1.0,1.0,280.0,1,280.0,1.0,1,1.0,1.0,280.0,1,280.0,1.0,1,1.0,1.0,1.0
60,B3A306,74C83C,03271F,160.0,2018-09-28 11:27:32.170,2018-09-28 11:27:32.450,True,766,63,08533,08533,1.0,1,1.0,,1,160.0,1,160.0,1.0,1,1.0,0.0,160.0,1,160.0,1.0,1,1.0,0.0,160.0,1,160.0,1.0,1,1.0,0.0,1.0
61,1CCB94,5E63CF,03271F,225.0,2018-09-28 13:04:12.970,2018-09-28 13:04:13.283,True,730,25,48801,48801,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
62,5F87CD,AD8066,03271F,148.99,2018-09-29 01:11:05.370,2018-09-29 01:11:05.650,True,555,41,11552,11552,1.0,1,1.0,1.0,1,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,1.0
63,626F39,C1CA0D,03271F,252.0,2018-09-30 00:57:10.853,2018-09-30 00:57:11.137,True,605,29,45424,45424,1.0,1,1.0,1.0,1,252.0,1,252.0,1.0,1,1.0,1.0,252.0,1,252.0,1.0,1,1.0,1.0,252.0,1,252.0,1.0,1,1.0,1.0,1.0
64,DE71A3,9C611B,03271F,468.0,2018-10-01 03:31:33.090,2018-10-01 03:31:33.370,True,774,49,91040,91041,1.0,1,1.0,1.0,1,468.0,1,468.0,1.0,1,1.0,1.0,468.0,1,468.0,1.0,1,1.0,1.0,468.0,1,468.0,1.0,1,1.0,1.0,1.0
65,1465D8,D89F54,03271F,171.0,2018-10-01 16:39:47.627,2018-10-01 16:39:48.003,True,833,62,84651,84651,1.0,1,1.0,1.0,1,171.0,1,171.0,1.0,1,1.0,1.0,171.0,1,171.0,1.0,1,1.0,1.0,171.0,1,171.0,1.0,1,1.0,1.0,1.0
66,EB246A,0A3D7D,03271F,261.0,2018-10-01 22:56:31.050,2018-10-01 22:56:31.423,True,639,53,08886,08886,1.0,1,1.0,1.0,1,261.0,1,261.0,1.0,1,1.0,1.0,261.0,1,261.0,1.0,1,1.0,1.0,261.0,1,261.0,1.0,1,1.0,1.0,1.0
67,7772F6,55515D,03271F,237.49,2018-10-03 17:42:42.127,2018-10-03 17:42:42.500,True,669,50,85142,85142,1.0,1,1.0,1.0,1,237.49,1,237.49,1.0,1,1.0,1.0,237.49,1,237.49,1.0,1,1.0,1.0,237.49,1,237.49,1.0,1,1.0,1.0,1.0
68,A0F41D,62ED96,03271F,225.0,2018-10-03 21:50:43.777,2018-10-03 21:50:44.107,True,603,30,98802,98802,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
69,EAA06B,04CB4C,03271F,160.0,2018-10-05 18:37:18.993,2018-10-05 18:37:19.323,True,441,33,95355-4805,95355-4805,1.0,0,0.0,0.0,1,160.0,1,160.0,1.0,0,0.0,0.0,160.0,1,160.0,1.0,0,0.0,0.0,160.0,1,160.0,1.0,0,0.0,0.0,1.0
70,13EABA,39000F,03271F,225.0,2018-10-05 21:56:37.673,2018-10-05 21:56:38.097,True,590,50,95348,95348,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
71,4201A3,DEAB5F,03271F,252.0,2018-10-05 22:02:27.863,2018-10-05 22:02:28.160,True,611,49,53158,53158,1.0,1,1.0,1.0,1,252.0,1,252.0,1.0,1,1.0,1.0,252.0,1,252.0,1.0,1,1.0,1.0,252.0,1,252.0,1.0,1,1.0,1.0,1.0
72,1189A5,19CCD6,03271F,225.0,2018-10-07 14:06:31.847,2018-10-07 14:06:32.160,True,629,39,92103,92103,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
73,04BF8E,6ED05F,03271F,427.2,2018-10-08 18:46:20.877,2018-10-08 18:46:21.390,True,748,49,85207,85207,1.0,1,1.0,1.0,1,427.2,1,427.2,1.0,1,1.0,1.0,427.2,1,427.2,1.0,1,1.0,1.0,427.2,1,427.2,1.0,1,1.0,1.0,1.0
74,105586,BE8042,03271F,252.0,2018-10-09 14:58:05.670,2018-10-09 14:58:06.467,True,590,51,43055,43055,1.0,1,1.0,1.0,1,252.0,1,252.0,1.0,1,1.0,1.0,252.0,1,252.0,1.0,1,1.0,1.0,252.0,1,252.0,1.0,1,1.0,1.0,1.0
75,944E5B,1EF8C0,03271F,261.0,2018-10-09 20:32:47.230,2018-10-09 20:32:48.137,True,611,20,97408,97408,1.0,1,1.0,1.0,1,261.0,1,261.0,1.0,1,1.0,1.0,261.0,1,261.0,1.0,1,1.0,1.0,261.0,1,261.0,1.0,1,1.0,1.0,1.0
76,A057A4,9D0F99,03271F,234.0,2018-10-10 23:30:39.930,2018-10-10 23:30:40.303,True,756,61,30214,30214,1.0,1,1.0,1.0,1,234.0,1,234.0,1.0,1,1.0,1.0,234.0,1,234.0,1.0,1,1.0,1.0,234.0,1,234.0,1.0,1,1.0,1.0,1.0
77,6B95FE,BD8220,03271F,148.99,2018-10-12 20:18:43.893,2018-10-12 20:18:44.223,True,497,49,34470,34470,1.0,1,1.0,1.0,1,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,148.99,1,148.99,1.0,1,1.0,1.0,1.0
78,D66017,129076,03271F,520.0,2018-10-13 19:53:15.443,2018-10-13 19:53:15.770,True,611,56,89415,89415,1.0,1,1.0,,1,520.0,1,520.0,1.0,1,1.0,0.0,520.0,1,520.0,1.0,1,1.0,0.0,520.0,1,520.0,1.0,1,1.0,0.0,1.0
79,8BE1E5,CAE413,05BCA0,108.0,2018-09-04 18:44:29.770,2018-09-04 18:44:31.083,True,420,26,44102,44102,1.0,0,0.0,0.0,1,108.0,1,108.0,1.0,0,0.0,0.0,108.0,1,108.0,1.0,0,0.0,0.0,108.0,1,108.0,1.0,0,0.0,0.0,1.0
80,CDCC8C,CAE413,05BCA0,521.25,2018-09-09 23:09:02.640,2018-09-09 23:09:03.640,True,420,26,44102,44102,1.0,0,0.0,0.0,1,521.25,1,521.25,1.0,0,0.0,0.0,521.25,1,521.25,1.0,0,0.0,0.0,521.25,1,521.25,1.0,0,0.0,0.0,1.0
81,999538,C20962,05BCA0,215.0,2018-09-18 14:22:05.570,2018-09-18 14:22:07.303,True,833,62,95831,95831,1.0,1,1.0,1.0,1,215.0,1,215.0,1.0,1,1.0,1.0,215.0,1,215.0,1.0,1,1.0,1.0,215.0,1,215.0,1.0,1,1.0,1.0,1.0
82,D71B37,925C14,05BCA0,135.0,2018-09-18 15:54:49.950,2018-09-18 15:54:51.870,True,602,24,94086,94086,1.0,1,1.0,1.0,1,135.0,1,135.0,1.0,1,1.0,1.0,135.0,1,135.0,1.0,1,1.0,1.0,135.0,1,135.0,1.0,1,1.0,1.0,1.0
83,C54044,734CE0,05BCA0,225.0,2018-09-18 19:31:51.050,2018-09-18 19:31:52.973,True,623,45,98367-9345,98367-9345,1.0,1,1.0,1.0,1,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,225.0,1,225.0,1.0,1,1.0,1.0,1.0
